Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
22.439066,-0.340277493,-2.163098574,3.070526123
22.44980819,-0.3573315144,-2.002736092,2.769927025
22.4692784,-0.3539744914,-1.699763298,2.240771532
22.4793492,-0.3144403398,-1.539555907,1.990458488
22.48942,-0.2527462244,-1.352362037,1.677047253
22.4994908,-0.1039825752,-0.9829058051,1.13160336
22.5095616,0.04046802223,-0.6367518306,0.6577135324
22.5196324,0.1092444286,-0.4335199594,0.3926965892
22.5297032,0.1554178894,-0.238513127,0.1251684874
22.539774,0.2409634292,-0.02102739364,-0.1753996164
22.55060775,0.346820116,0.1760893017,-0.4504842162
22.56998641,0.5265493393,0.4568911195,-0.9577380419
22.58002669,0.6113160253,0.5686904192,-1.197416067
22.59009749,0.6896817684,0.6673783064,-1.415252566
22.60019881,0.7148311138,0.70723176,-1.51265502
22.61023909,0.7154678106,0.7204634547,-1.610372424
22.62027938,0.6965211034,0.6701235175,-1.654191613
22.63035018,0.6910432577,0.6030297279,-1.646795988
22.64039046,0.6876153946,0.5283182263,-1.602248669
22.65131575,0.682484746,0.4518562853,-1.529560804
22.6706639,0.6737966537,0.3628533185,-1.368425369
22.6807347,0.6546027064,0.3020611703,-1.254805446
22.6908055,0.6226400733,0.2326570898,-1.138720274
22.7008763,0.5602116585,0.1408444941,-0.9959871769
22.71091658,0.5068064928,0.03453456983,-0.8862249851
22.7210179,0.4562375247,-0.06588215381,-0.7892924547
22.73105819,0.4226301312,-0.1494074762,-0.6940863729
22.74109847,0.3761111498,-0.2478361577,-0.5919128656
22.7613011,0.1833546311,-0.5429916382,-0.4173099399
22.77137191,0.07789088041,-0.6690376401,-0.3633044064
22.78141219,0.01998336799,-0.731618762,-0.3339684308
22.79148299,0.006300292909,-0.7311676145,-0.3017881811
22.80155379,0.009742604569,-0.7343617678,-0.2723819911
22.81162459,0.01129201427,-0.7247946262,-0.275975585
22.82175643,0.007951165549,-0.7182466984,-0.3130723238
22.83179671,0.001961540896,-0.7178963423,-0.3664123118
22.84186751,-0.001206792425,-0.7365961075,-0.4144808054
22.85193831,-0.004471544642,-0.7558420897,-0.446208775
22.86225325,-0.005271688104,-0.7754943967,-0.4645342529
22.88221175,0.005156644154,-0.8432284594,-0.4959561229
22.89225203,0.01709061861,-0.8595224023,-0.5008673668
22.90232283,0.03609414771,-0.8884649277,-0.4971374869
22.91239363,0.04942397028,-0.8885565996,-0.4709839225
22.92246444,0.05886735395,-0.9201389551,-0.4497503936
22.93256575,0.06560068578,-0.9747935534,-0.4243344665
22.94260604,0.06832958013,-1.052890182,-0.3971766531
22.95270736,0.06866338849,-1.156644702,-0.3703286052
22.96314437,0.06461040676,-1.27668941,-0.3446380198
22.98288924,0.06387320161,-1.640426517,-0.3056921959
22.99296004,0.06618995219,-1.830032229,-0.2854663432
23.00306136,0.07874130458,-2.045559883,-0.2689707577
23.01310164,0.0864245072,-2.183467865,-0.2487058789
23.02317244,0.1035605446,-2.383033991,-0.240058884
23.03324324,0.1204691902,-2.572259665,-0.2363365591
23.04331404,0.1345572174,-2.74932003,-0.2389570922
23.05338484,0.1494890302,-2.912005663,-0.2489461005
23.06397445,0.163705796,-3.042660952,-0.2652769685
23.08356491,0.2094155252,-3.376047373,-0.3380865753
23.09363572,0.234495312,-3.409391642,-0.3871703744
23.103676,0.2619421482,-3.40884304,-0.4557633698
23.1137468,0.2701554596,-3.254039764,-0.5259474516
23.1238176,0.2789618373,-3.086452484,-0.6065893173
23.1338884,0.2941755652,-2.975044489,-0.7094470859
23.1439592,0.291229248,-2.815984726,-0.8385750055
23.15399948,0.2630219758,-2.635445833,-0.9944888353
23.16519944,0.2302432358,-2.388143778,-1.141283035
23.1842424,0.2329945266,-2.066224575,-1.493795156
23.19486252,0.2211500555,-1.782819986,-1.648687243
23.2049028,0.2048536986,-1.492619514,-1.882151246
23.21491257,0.1740059257,-1.132765174,-1.987380505
23.22495285,0.1325243562,-0.8070600033,-2.036545277
23.23496262,0.0821056664,-0.5076147914,-2.135166168
23.24497238,0.007076020353,-0.1799514592,-2.256908417
23.25501267,-0.06672342867,0.1066066176,-2.35622406
23.26642624,-0.1222665161,0.3165082633,-2.343417168
23.28540818,-0.2902615964,0.7823368311,-2.551769257
23.30512253,-0.6170769334,1.383039713,-2.799954891
23.31519333,-0.7413090467,1.521585703,-2.699166775
23.32526413,-0.8234323263,1.590850949,-2.61498642
23.33533493,-0.8832136989,1.608053803,-2.520481586
23.35547654,-0.9814559221,1.582948446,-2.398316383
23.36667649,-0.9771800637,1.50785017,-2.245147467
23.38587204,-0.9889082313,1.435218096,-2.019250393
23.40583054,-0.9812169671,1.355543613,-1.739857435
23.41590134,-0.8988695741,1.223702788,-1.399040818
23.42600266,-0.7931324244,1.075826406,-0.9911055565
23.43604294,-0.6828450561,0.9164723158,-0.4930893481
23.44611374,-0.5992137194,0.7759981751,-0.01233363152
23.45618454,-0.5340300798,0.641405344,0.4372363091
23.46726242,-0.4491210878,0.4734924436,0.9374798536
23.48694626,-0.331754446,0.1840943843,1.989417195
23.49695603,-0.2737075686,0.0327408798,2.435044289
23.50699631,-0.2233841717,-0.1300294399,2.917974234
23.51700608,-0.1683003306,-0.2871766686,3.201749325
23.52701584,-0.1305131167,-0.4349701405,3.422245264
23.53705613,-0.1184118837,-0.5837982297,3.684138775
23.54706589,-0.1186022535,-0.7232046127,3.900046825
23.55710617,-0.1270207912,-0.8413481116,4.052817822
23.56711594,-0.14107804,-0.9235937595,4.142887592
23.57715622,-0.1540528089,-0.9722528458,4.167550087
23.58716599,-0.1662511677,-0.9522966146,4.118143559
23.59717575,-0.1683148295,-0.8724671006,3.948948383
23.60724656,-0.1632000655,-0.7682364583,3.741159678
23.61731736,-0.1423454136,-0.665843904,3.534587622
23.62738816,-0.1139704585,-0.5537526608,3.306658268
23.63748947,-0.08245009929,-0.4405053556,3.057435751
23.64752976,-0.05502009764,-0.3345453739,2.798534155
23.65760056,-0.030796526,-0.2577027977,2.538045645
23.66767136,-0.01189767756,-0.2069275677,2.282915115
23.67774216,0.009850240313,-0.1586713195,2.046560526
23.68781296,0.04620586336,-0.1154801399,1.838022232
23.69788376,0.1020175591,-0.06157310307,1.63318646
23.70795456,0.225988239,0.1363731027,1.2553339
23.71802536,0.3508273065,0.3572120667,0.8482981324
23.72809616,0.4166589379,0.5083767176,0.5328390598
23.73816696,0.4417828321,0.5947219133,0.3101036847
23.74823777,0.4633092582,0.6939391494,0.06041432917
23.75830857,0.5093712807,0.7938237786,-0.1706420928
23.76837937,0.5400307775,0.8626616597,-0.3652458191
23.77845017,0.5574107766,0.8947623372,-0.5305712819
23.788582,0.5784391761,0.9041863084,-0.674584806
23.79859177,0.6065884829,0.8909754157,-0.7942553163
23.80860154,0.6373351812,0.8711212277,-0.8905514479
23.81876389,0.6776843071,0.8323862553,-0.9655535221
23.82883469,0.7226859927,0.7711638808,-1.01317358
23.83890549,0.7649211287,0.6934588552,-1.032352567
23.84897629,0.8013109565,0.5968118906,-1.021307588
23.85904709,0.8249469399,0.490575105,-0.9771354795
23.86911789,0.8346888423,0.3757511079,-0.9035413265
23.87918869,0.824187398,0.2727895677,-0.8109018803
23.88925949,0.7990338802,0.1656342894,-0.7183107138
23.89929978,0.753093183,0.08638578653,-0.6442211866
23.9094011,0.6989326477,0.01879191771,-0.5550948381
23.91944138,0.647443831,-0.06427932531,-0.4332768023
23.92951218,0.5975701809,-0.1532162279,-0.2927054763
23.93955246,0.553584218,-0.240945369,-0.1543003321
23.94956223,0.5253949165,-0.3238606751,-0.03161498532
23.95972458,0.4827778637,-0.4128897488,0.07621608675
23.96979538,0.4132935703,-0.5210815668,0.1732413322
23.97986618,0.3269203901,-0.6360289454,0.2578933537
23.98993698,0.2383139431,-0.7505643368,0.3269996941
24.0000383,0.1572782397,-0.8537150621,0.3817791939
24.01007859,0.08897908777,-0.9285079837,0.4226983786
24.02014939,0.04002318531,-0.992015183,0.451901406
24.03022019,0.005728230346,-1.040957332,0.4741683602
24.04029099,-0.01690854318,-1.087209821,0.4932188392
24.05036179,-0.02970833518,-1.142799616,0.5133902431
24.06043259,-0.04084527865,-1.190185189,0.5384374857
24.07050339,-0.04662470147,-1.264015317,0.5700855851
24.08057419,-0.05866993964,-1.328237772,0.6110181808
24.09064499,-0.07549721748,-1.394967556,0.6608191133
24.10071579,-0.09796892107,-1.470772982,0.710288465
24.11109177,-0.123573333,-1.571147323,0.7525843978
24.13095871,-0.1933175623,-1.825327396,0.8106279373
24.14102951,-0.2267952561,-1.934248805,0.8011442423
24.1510698,-0.2596949041,-2.033399582,0.7748289108
24.1611406,-0.2827236652,-2.07343483,0.7150495648
24.17118088,-0.3060845733,-2.175604105,0.659185946
24.1812822,-0.3257918358,-2.270564556,0.5892620683
24.19132248,-0.3441145718,-2.347938538,0.5067179799
24.20145432,-0.3627651334,-2.393267632,0.4169495404
24.2114946,-0.3770547509,-2.439849854,0.325609982
24.2215654,-0.3886386752,-2.474545956,0.2507715523
24.2316362,-0.3915778399,-2.474506617,0.1515197456
24.241707,-0.3748961687,-2.360492706,-0.1072559431
24.25177781,-0.3690026999,-2.237242222,-0.3857396841
24.2618486,-0.3515619636,-2.10956645,-0.6239444017
24.27191941,-0.3205086291,-1.995016098,-0.8420351744
24.28202072,-0.2921450436,-1.8300488,-1.095791578
24.29206101,-0.2665050626,-1.628759146,-1.385051608
