"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.448534962E0,-1.813404202E0,-5.060785413E-1,-8.114671335E-3
2.458544727E0,-1.570891500E0,-4.823360443E-1,-9.035754949E-2
2.468615528E0,-1.321255207E0,-4.596135914E-1,-1.589104682E-1
2.478686329E0,-1.083968043E0,-4.335184395E-1,-2.217328846E-1
2.489367481E0,-9.046235681E-1,-3.995257616E-1,-2.626304328E-1
2.499377247E0,-7.831523418E-1,-3.702707887E-1,-3.174181283E-1
2.509387012E0,-6.904007196E-1,-3.327832222E-1,-3.771123290E-1
2.519427296E0,-6.028251052E-1,-2.875727117E-1,-4.391644299E-1
2.539385792E0,-3.711879253E-1,-2.322575301E-1,-5.183976293E-1
2.549395557E0,-1.868485361E-1,-2.084061056E-1,-5.313789248E-1
2.559435841E0,9.502819739E-3,-1.705519557E-1,-5.301307440E-1
2.569445606E0,2.191278487E-1,-1.215315089E-1,-5.148707628E-1
2.579455372E0,4.350138009E-1,-4.248710349E-2,-5.012180805E-1
2.589495655E0,6.450636387E-1,6.199901924E-2,-4.875280559E-1
2.599505421E0,8.271113038E-1,1.798577607E-1,-4.732959867E-1
2.609576221E0,9.802834392E-1,2.425908148E-1,-4.527964592E-1
2.619647022E0,1.107202530E0,2.423081696E-1,-3.902696967E-1
2.629717823E0,1.197949409E0,1.918944269E-1,-3.482945263E-1
2.639819141E0,1.284541965E0,1.389884017E-2,-3.601814806E-1
2.649889942E0,1.427987456E0,-2.320347279E-1,-3.997601867E-1
2.659960743E0,1.607865214E0,-4.202655256E-1,-4.610475302E-1
2.670062061E0,1.806116581E0,-5.906736851E-1,-5.262349844E-1
2.680132862E0,1.958959937E0,-7.384092808E-1,-6.056725383E-1
2.690173145E0,2.054499626E0,-8.400788307E-1,-6.650301814E-1
2.700274464E0,2.082091570E0,-8.800120950E-1,-7.022370696E-1
2.710314747E0,2.053643703E0,-8.415203691E-1,-7.813866735E-1
2.720416065E0,2.036506414E0,-7.798787355E-1,-8.664893508E-1
2.730456348E0,2.019917011E0,-7.095349431E-1,-8.613650203E-1
2.740527149E0,1.975259900E0,-6.167746186E-1,-7.760258913E-1
2.750536915E0,1.944550753E0,-5.531320572E-1,-6.750695705E-1
2.760668751E0,2.002458811E0,-4.642074704E-1,-6.579818130E-1
2.770739552E0,2.128928185E0,-2.918149531E-1,-6.548934579E-1
2.780779835E0,2.390122890E0,7.950994372E-2,-6.435283422E-1
2.790850636E0,2.823643923E0,6.960285306E-1,-6.249580979E-1
2.800951954E0,3.248484373E0,1.364705801E0,-5.536876321E-1
2.811022755E0,3.539214134E0,1.885014057E0,-4.397878349E-1
2.821063038E0,3.704236507E0,2.303377390E0,-3.329854608E-1
2.831164356E0,3.777884960E0,2.659857035E0,-2.529846728E-1
2.841265675E0,3.803749561E0,2.966359854E0,-2.340167314E-1
2.851336475E0,3.780536890E0,3.219841957E0,-2.151253521E-1
2.861407276E0,3.700045109E0,3.392307758E0,-2.658100128E-1
2.871478077E0,3.567255259E0,3.484421492E0,-3.032405972E-1
2.881548878E0,3.390468121E0,3.539769411E0,-3.319289386E-1
2.891619679E0,3.213023663E0,3.573754311E0,-4.265590310E-1
2.901690479E0,3.213023663E0,3.573754311E0,-4.265590310E-1
2.911761280E0,2.908706665E0,3.534113169E0,-6.288134456E-1
2.921832081E0,2.748029709E0,3.458369970E0,-5.845713615E-1
2.931902882E0,2.544458151E0,3.272453547E0,-5.389643312E-1
2.942004200E0,2.248559475E0,2.938728571E0,-5.037870407E-1
2.952044483E0,1.990861893E0,2.595793724E0,-3.979668021E-1
2.962115284E0,1.807317972E0,2.358847618E0,-2.831307650E-1
2.972186085E0,1.583904028E0,2.184470415E0,-1.895179898E-1
2.982287403E0,1.393182635E0,2.018506289E0,-1.154187098E-1
2.992327686E0,1.207383871E0,1.873865604E0,-5.691559985E-2
3.002398487E0,1.009531260E0,1.719796300E0,-1.403070800E-2
3.012469288E0,7.946642637E-1,1.538447857E0,1.835918240E-2
3.022540089E0,5.924298167E-1,1.344606519E0,3.646440059E-2
3.032610889E0,4.361242056E-1,1.114889503E0,5.002509803E-2
3.042681690E0,2.532840967E-1,8.477760553E-1,3.286083415E-2
3.052752491E0,1.966487616E-2,5.679345727E-1,-2.949845605E-2
3.062823292E0,-2.682175040E-1,2.948093712E-1,-1.359537691E-1
3.072894093E0,-6.071367264E-1,2.943953685E-2,-2.928133607E-1
3.082964893E0,-1.007752299E0,-2.292165607E-1,-4.949553609E-1
3.093035694E0,-1.480098844E0,-4.573456943E-1,-7.509612441E-1
3.103106495E0,-2.018839836E0,-6.598960161E-1,-1.050594211E0
3.113177296E0,-2.554357529E0,-8.465190530E-1,-1.343763113E0
3.123248096E0,-3.029321909E0,-1.041938305E0,-1.589462638E0
3.133318897E0,-3.442239761E0,-1.236726522E0,-1.759191275E0
3.143389698E0,-3.775104761E0,-1.425966501E0,-1.862228513E0
3.153460499E0,-4.033880711E0,-1.594768643E0,-1.905081987E0
3.163531300E0,-4.208973885E0,-1.720158219E0,-1.900241733E0
3.173602100E0,-4.308899403E0,-1.795791745E0,-1.862039566E0
3.183672901E0,-4.356969833E0,-1.822253585E0,-1.814094901E0
3.193743702E0,-4.390894890E0,-1.794937134E0,-1.750160217E0
3.203845020E0,-4.407849312E0,-1.729134083E0,-1.671383858E0
3.213915821E0,-4.421963692E0,-1.646520853E0,-1.580556631E0
3.223986622E0,-4.442248821E0,-1.558762431E0,-1.484632015E0
3.234057423E0,-4.478611469E0,-1.458936691E0,-1.387830973E0
3.244158741E0,-4.520561218E0,-1.350826144E0,-1.279828429E0
3.254199024E0,-4.537338734E0,-1.245094657E0,-1.159138441E0
3.264269825E0,-4.501333237E0,-1.133013606E0,-1.032198191E0
3.274340626E0,-4.405470848E0,-1.020452023E0,-9.209671021E-1
3.284411427E0,-4.302139282E0,-8.899779320E-1,-8.110769391E-1
3.294482227E0,-4.184542656E0,-7.951858640E-1,-6.919907928E-1
3.304583546E0,-4.114078522E0,-6.981093287E-1,-5.435371995E-1
3.314623829E0,-3.959957123E0,-6.367595792E-1,-3.786049783E-1
3.324725147E0,-3.740724325E0,-5.051308274E-1,-1.782402098E-1
3.334765430E0,-3.346186399E0,-3.849710226E-1,7.241400331E-2
3.344836231E0,-2.684552431E0,-1.783173233E-1,4.103634655E-1
3.354907032E0,-1.978561282E0,-1.955065131E-1,7.819547057E-1
3.364947315E0,-1.563741684E0,-2.783192992E-1,1.168993354E0
3.375048634E0,-1.303439975E0,-8.556552529E-1,1.590767384E0
3.385119434E0,-8.145595789E-1,-1.186316133E0,1.859121561E0
3.395190235E0,-4.807128757E-2,-1.012176991E0,2.027430296E0
3.405261036E0,7.578392029E-1,-8.394511938E-1,2.090461493E0
3.415331837E0,1.701961994E0,-3.710389137E-1,2.069408655E0
3.425402637E0,2.607275248E0,-2.678097598E-2,2.007050037E0
3.435473438E0,3.296079159E0,1.149765402E-1,1.919318438E0
3.445544239E0,3.847251654E0,1.432730258E-1,1.844833374E0
3.455615040E0,4.401211739E0,1.931738257E-1,1.763090968E0
3.465685841E0,4.849852085E0,3.170255721E-1,1.729388595E0
3.475756641E0,5.135994434E0,4.295921028E-1,1.661866784E0
3.485827442E0,5.132348537E0,4.373475015E-1,1.553977251E0
3.495898243E0,4.728504658E0,3.083557189E-1,1.351550102E0
3.505969044E0,4.069020748E0,1.471735686E-1,1.071759343E0
3.516039845E0,3.500159264E0,2.274566442E-1,8.228330016E-1
3.526110645E0,3.157323122E0,7.887123823E-1,5.126568079E-1
3.536181446E0,2.948688984E0,1.089826465E0,3.635540009E-1
3.546252247E0,2.536226988E0,1.065800428E0,2.906841636E-1
3.556323048E0,1.881434679E0,8.552712202E-1,2.162435949E-1
3.566424366E0,1.053576589E0,3.530790806E-1,2.219036371E-1
3.576464649E0,2.414309233E-1,-3.896147758E-2,3.028914630E-1
3.586535450E0,-4.031827152E-1,-2.428668141E-1,3.944279253E-1
3.596606251E0,-9.166444540E-1,-3.577535748E-1,4.271391034E-1
3.606677052E0,-1.386015415E0,-4.529089630E-1,4.049486816E-1
3.616747852E0,-1.832205176E0,-5.192009211E-1,3.574613929E-1
3.626818653E0,-2.209255695E0,-6.195437312E-1,3.335404396E-1
3.636889454E0,-2.452933311E0,-7.253857851E-1,3.043869138E-1
3.646960255E0,-2.546554327E0,-7.929155231E-1,2.707043886E-1
3.657031055E0,-2.607952356E0,-8.294994831E-1,2.629705071E-1
3.667101856E0,-2.573454618E0,-8.581559062E-1,2.621385753E-1
